0.000	44
0.000	43
0.000	10
0.000	11
29999.000	45
30000.000	42
64496.000	3
64496.000	62
64642.000	4
64642.000	63
179999.000	44
180000.000	43
185433.000	7
185523.000	7
209999.000	45
210000.000	42
249302.000	3
249302.000	62
287206.000	7
299831.000	3
299831.000	62
299947.000	4
299947.000	63
359999.000	44
360000.000	43
361354.000	3
361354.000	60
361355.000	5
361355.000	38
361634.000	6
361754.000	40
362220.000	3
362220.000	60
362221.000	5
362221.000	38
362232.000	3
362232.000	60
362500.000	6
362620.000	40
364189.000	3
364189.000	60
364190.000	5
364190.000	38
364469.000	6
364589.000	40
389999.000	45
390000.000	42
