0	44
0	43
0	10
0	11
120	3
120	60
121	5
121	38
127	3
127	60
137	3
137	60
343	3
343	60
400	6
520	40
571	3
571	60
572	5
572	38
627	3
627	60
743	3
743	60
851	6
971	40
22545	3
22545	60
22546	5
22546	38
22825	6
22945	40
26618	3
26618	60
26619	5
26619	38
26898	6
27018	40
29999	45
30000	42
48139	3
48139	62
63559	3
63559	62
77397	3
77397	62
77487	3
77487	62
77598	3
77598	62
93375	3
93375	62
93398	3
93398	62
93568	3
93568	62
93619	3
93619	62
93626	3
93626	62
96290	7
129248	3
129248	62
129276	3
129276	62
134366	4
134366	63
135293	4
135293	63
135439	4
135439	63
138162	7
138789	3
138789	62
138966	3
138966	62
140533	3
140533	62
140952	3
140952	62
149290	3
149290	62
149323	3
149323	62
150061	3
150061	62
151355	3
151355	62
151421	3
151421	62
174908	7
174924	7
174928	7
179999	44
180000	43
181231	3
181231	60
181232	5
181232	38
181511	6
181631	40
182153	3
182153	60
182154	5
182154	38
182433	6
182553	40
209999	45
210000	42
231408	3
231408	62
235616	3
235616	62
237655	7
240219	3
240219	62
245248	3
245248	62
245540	3
245540	62
245812	3
245812	62
263179	4
263179	63
263369	3
263369	62
263395	3
263395	62
273017	3
273017	62
276457	3
276457	62
276469	3
276469	62
276529	3
276529	62
276686	3
276686	62
280158	3
280158	62
280194	3
280194	62
280207	3
280207	62
280294	3
280294	62
300874	7
343440	3
343440	62
343512	3
343512	62
343918	3
343918	62
344184	3
344184	62
348006	7
348073	7
359999	44
360000	43
361546	3
361546	60
361547	5
361547	38
361597	3
361597	60
361826	6
361946	40
362286	3
362286	60
362287	5
362287	38
362566	6
362686	40
365097	3
365097	60
365098	5
365098	38
365377	6
365497	40
387710	3
387710	60
387711	5
387711	38
387752	3
387752	60
387990	6
388110	40
389999	45
390000	42
401947	7
409633	3
409633	62
417026	3
417026	62
417131	3
417131	62
417174	3
417174	62
418738	3
418738	62
418869	3
418869	62
418997	3
418997	62
434007	3
434007	62
434194	3
434194	62
434236	3
434236	62
457845	3
457845	62
457965	3
457965	62
458045	3
458045	62
472988	4
472988	63
473026	4
473026	63
473118	4
473118	63
473174	4
473174	63
473784	4
473784	63
498289	3
498289	62
498606	3
498606	62
510945	7
510961	7
511769	3
511769	62
538759	3
538759	62
539999	44
540000	43
540406	3
540406	60
540407	5
540407	38
540457	3
540457	60
540686	6
540806	40
541047	3
541047	60
541048	5
541048	38
541109	3
541109	60
541131	3
541131	60
541327	6
541447	40
543961	3
543961	60
543962	5
543962	38
544179	3
544179	60
544241	6
544361	40
569841	3
569841	60
569842	5
569842	38
570121	6
570241	40
572119	3
572119	60
572120	5
572120	38
572399	6
572519	40
602565	3
602565	60
602566	5
602566	38
602845	6
602965	40
604401	3
604401	60
604402	5
604402	38
604681	6
604801	40
639142	7
652185	3
652185	60
652186	5
652186	38
652465	6
652585	40
653456	3
653456	60
653457	5
653457	38
653736	6
653856	40
